year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,state,primary_race,primary_eligibility,primary_denominator,analysis_value
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1,ALABAMA,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",718
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,2,ALASKA,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",797
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,4,ARIZONA,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",1289
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,5,ARKANSAS,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",808
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6,CALIFORNIA,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",733
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,8,COLORADO,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",438
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,9,CONNECTICUT,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",394
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,12,FLORIDA,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",682
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,13,GEORGIA,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",1347
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,16,IDAHO,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",636
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,17,ILLINOIS,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",1357
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,18,INDIANA,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",265
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,19,IOWA,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",858
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,20,KANSAS,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",628
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,21,KENTUCKY,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",400
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,22,LOUISIANA,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",449
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,23,MAINE,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",913
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,24,MARYLAND,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",332
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,25,MASSACHUSETTS,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",890
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,26,MICHIGAN,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",931
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,27,MINNESOTA,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",1170
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,28,MISSISSIPPI,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",1367
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,29,MISSOURI,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",1191
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,30,MONTANA,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",1010
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,31,NEBRASKA,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",844
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,32,NEVADA,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",572
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,33,NEW HAMPSHIRE,American Indian/Alaska native,Old Age / Survivor's Insurance,"undefined",541
