year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,county,state,urban,primary_race,primary_eligibility,primary_denominator,analysis_value
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1003,Baldwin County,ALABAMA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",50
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1053,Escambia County,ALABAMA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",61
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1097,Mobile County,ALABAMA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",38
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1099,Monroe County,ALABAMA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",46
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,2020,Anchorage Municipality,ALASKA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"1,000-4,999",21
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,2050,Bethel Census Area,ALASKA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",14
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,2060,Bristol Bay Borough,ALASKA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",26
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,2070,Dillingham Census Area,ALASKA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",16
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,2090,Fairbanks North Star Borough,ALASKA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",22
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,2100,Haines Borough,ALASKA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",17
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,2110,Juneau City and Borough,ALASKA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",22
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,2130,Ketchikan Gateway Borough,ALASKA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",22
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,2150,Kodiak Island Borough,ALASKA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",21
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,2170,Matanuska-Susitna Borough,ALASKA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",27
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,2180,Nome Census Area,ALASKA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",19
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,2220,Sitka City and Borough,ALASKA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",24
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,2230,Skagway Municipality,ALASKA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",29
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,2240,Southeast Fairbanks Census Area,ALASKA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",16
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,2270,Wade Hampton Census Area,ALASKA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",21
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,2290,Yukon-Koyukuk Census Area,ALASKA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",29
