year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,state,primary_race,primary_eligibility,primary_denominator,analysis_value
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1,ALABAMA,Hispanic,Old Age / Survivor's Insurance,"undefined",339
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,2,ALASKA,Hispanic,Old Age / Survivor's Insurance,"undefined",803
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,4,ARIZONA,Hispanic,Old Age / Survivor's Insurance,"undefined",577
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,5,ARKANSAS,Hispanic,Old Age / Survivor's Insurance,"undefined",403
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6,CALIFORNIA,Hispanic,Old Age / Survivor's Insurance,"undefined",635
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,8,COLORADO,Hispanic,Old Age / Survivor's Insurance,"undefined",509
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,9,CONNECTICUT,Hispanic,Old Age / Survivor's Insurance,"undefined",586
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,10,DELAWARE,Hispanic,Old Age / Survivor's Insurance,"undefined",530
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,11,DISTRICT OF COLUMBIA,Hispanic,Old Age / Survivor's Insurance,"undefined",224
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,12,FLORIDA,Hispanic,Old Age / Survivor's Insurance,"undefined",600
2019,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,13,GEORGIA,Hispanic,Old Age / Survivor's Insurance,"undefined",406
