year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,county,state,urban,primary_race,primary_eligibility,primary_denominator,analysis_value
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1001,Autauga County,ALABAMA,Urban,Black,Old Age / Survivor's Insurance,"11-499",43
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1003,Baldwin County,ALABAMA,Rural,Black,Old Age / Survivor's Insurance,"11-499",33
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1005,Barbour County,ALABAMA,Rural,Black,Old Age / Survivor's Insurance,"11-499",39
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1007,Bibb County,ALABAMA,Urban,Black,Old Age / Survivor's Insurance,"11-499",34
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1009,Blount County,ALABAMA,Urban,Black,Old Age / Survivor's Insurance,"11-499",31
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1011,Bullock County,ALABAMA,Rural,Black,Old Age / Survivor's Insurance,"11-499",42
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1013,Butler County,ALABAMA,Rural,Black,Old Age / Survivor's Insurance,"11-499",44
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1015,Calhoun County,ALABAMA,Urban,Black,Old Age / Survivor's Insurance,"500-999",39
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1017,Chambers County,ALABAMA,Rural,Black,Old Age / Survivor's Insurance,"11-499",32
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1019,Cherokee County,ALABAMA,Rural,Black,Old Age / Survivor's Insurance,"11-499",44
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1021,Chilton County,ALABAMA,Urban,Black,Old Age / Survivor's Insurance,"11-499",36
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1023,Choctaw County,ALABAMA,Rural,Black,Old Age / Survivor's Insurance,"11-499",30
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1025,Clarke County,ALABAMA,Rural,Black,Old Age / Survivor's Insurance,"11-499",40
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1027,Clay County,ALABAMA,Rural,Black,Old Age / Survivor's Insurance,"11-499",24
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1029,Cleburne County,ALABAMA,Rural,Black,Old Age / Survivor's Insurance,"11-499",48
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1031,Coffee County,ALABAMA,Rural,Black,Old Age / Survivor's Insurance,"11-499",37
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1033,Colbert County,ALABAMA,Urban,Black,Old Age / Survivor's Insurance,"11-499",45
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1035,Conecuh County,ALABAMA,Rural,Black,Old Age / Survivor's Insurance,"11-499",41
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1037,Coosa County,ALABAMA,Rural,Black,Old Age / Survivor's Insurance,"11-499",34
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,1039,Covington County,ALABAMA,Rural,Black,Old Age / Survivor's Insurance,"11-499",34
